"","ID","ESCUELA","GRADO","Grupo","Anios","Total_meses","Sexo","Calificacion","ConteoT","Target","NumEntrenamientos","ConteoCorrecto11-14","Conteocorrecto_Target11-14","NumEntrenamientos2","ConteoCorrecto12-13","Conteocorrecto_Target12-13","Nivel _actividad","Sonrisa_Risa","Placer_alta_intensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracion","Autotranquilizacion","control_Inhibitorio","Placer_baja_intensidad","Sensibilidad perceptual","Atencion_foc","Shifting","conjunto_atencion","CE_condistractibilidad","AfectoNegativo","ExtraversionSurgency","CE_sindistractibilidad","Alerta","Orientacion","Conflicto","ANT_porcentajecorrecto","Perfiles","Perfiles_sindistac","CE_AltosBajos","AN_AltosBajos","Surgency_AltosBajos","CE_sindistrac_AltosBajos","CE_super_AltosBajos","AN_super_AltosBajos","Sugency_super_AltosBajos","CE_sindistrac_super_AltosBajos","Alerta_AltosBajos","Orientacion_AltosBajos","Conflicto_AltosBajos"
"125","125",1,2,4,7,91,1,8.4,NA,NA,3,NA,NA,NA,NA,NA,5.07692307692308,5,5.84615384615385,5.30769230769231,5.84615384615385,3.15384615384615,2.91666666666667,4.16666666666667,3.75,3.76923076923077,4.76923076923077,4.07692307692308,4.69230769230769,4.75,4.66666666666667,5,4.78571428571429,4.63717948717949,3.87435897435897,5.03846153846154,4.54647435897436,NA,NA,NA,NA,"0",0,0,0,1,0,NA,0,1,0,NA,NA,NA
"126","126",1,2,4,NA,NA,1,7.5,15,0,3,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","127",1,2,4,NA,NA,0,8.7,12,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","128",1,2,4,NA,NA,1,8.4,20,1,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","129",1,2,4,7,92,0,8.6,14,0,3,1,0,1,0,0,4.15384615384615,3.69230769230769,3.15384615384615,3.61538461538462,4.38461538461539,3.07692307692308,3.58333333333333,4.25,3.58333333333333,2.46153846153846,4.61538461538461,4.69230769230769,5.07692307692308,5.08333333333333,4.44444444444444,4.4,4.42857142857143,4.73940170940171,3.69871794871795,3.67948717948718,4.82425213675214,160.5,84,211.5,63.1944444444444,"2",0,1,0,0,0,NA,0,0,NA,1,1,1
"130","130",1,2,4,7,87,1,8.6,NA,NA,3,NA,NA,NA,NA,NA,3.36363636363636,3.83333333333333,3.91666666666667,4.33333333333333,4.27272727272727,4.58333333333333,4.27272727272727,4.72727272727273,4.16666666666667,4.18181818181818,3.92307692307692,3.83333333333333,4.30769230769231,4.72727272727273,3,4.2,3.46153846153846,4.01365967365967,4.25431235431236,4.05050505050505,3.96707459207459,NA,NA,NA,NA,"0",0,0,0,0,0,0,NA,0,0,NA,NA,NA
"131","131",1,2,4,7,84,0,8.5,13,1,3,1,1,2,1,1,4.38461538461539,3.92307692307692,4.08333333333333,4.07692307692308,4.38461538461539,3.23076923076923,3.91666666666667,4.25,3.75,4.07692307692308,3.69230769230769,4.25,4.41666666666667,4.66666666666667,3.77777777777778,4.2,3.92857142857143,4.26222222222222,3.93717948717949,4.01388888888889,4.27777777777778,-34.5,37.5,20,68.0555555555555,"0",0,0,0,0,0,0,0,0,0,0,0,0
"132","132",1,2,4,NA,NA,1,6.3,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","133",1,2,4,7,91,1,9.6,12,1,3,1,1,3,1,1,5.30769230769231,5.76923076923077,5.76923076923077,5.69230769230769,6.38461538461539,1.46153846153846,2.5,1.83333333333333,4,3.15384615384615,5.92307692307692,6.38461538461539,5,6.25,5.44444444444444,5,5.28571428571429,5.61581196581197,3.48205128205128,5.06410256410256,5.76976495726496,11.5,121,53,95.1388888888888,"2",2,1,0,1,1,1,0,1,1,0,1,0
"134","134",1,2,4,7,88,1,7.6,19,0,3,0,0,3,0,0,4.76923076923077,5.07692307692308,3.84615384615385,3.92307692307692,4.23076923076923,3.30769230769231,4.25,3.41666666666667,3.5,3,4.69230769230769,3.92307692307692,4.46153846153846,3.83333333333333,3.44444444444444,4.8,3.92857142857143,4.09247863247863,3.77179487179487,4.19230769230769,3.91559829059829,32.5,42,138,81.9444444444444,"0",0,0,0,0,0,0,0,0,0,0,1,1
