ID,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,ConteoCorrecto12-13,Conteocorrecto_Target12-13,nivelactividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_errores_porcentaje_50,ANT_errores_omisión_50,ANT_errores_comision_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentajecorrecto,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Central_Cue_rt,Spatial_Cue_rt,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
1,0,1,1,1,7,90,1,6.1,11,1,0,0,3.92307692307692,4.23076923076923,4.69230769230769,4.07692307692308,4.46153846153846,3.91666666666667,4.4,3.4,4.5,4.46153846153846,4.15384615384615,3.33333333333333,4,4.09090909090909,4.44444444444444,4.4,4.42857142857143,4.05373737373737,4.18307692307692,4.21688034188034,3.96717171717172,26.5,-30.5,29.5,38,24.3055555555556,12,8.16326530612245,26,17.687074829932,24.3055555555556,12,26,8.16326530612245,17.687074829932,75.6944444444444,75.6944444444444,1,26.5,-30.5,29.5,756.55,838.291666666667,0,0,0,0,0,0,0,,0,0,0,0,0
2.00,0,1,1,1,6,81,0,7.1,,,,,5,5.41666666666667,5.83333333333333,4.91666666666667,5.58333333333333,1.91666666666667,2.91666666666667,2.90909090909091,3.91666666666667,4.23076923076923,5,5.41666666666667,6.08333333333333,6.09090909090909,4.66666666666667,4.5,4.61538461538462,5.35151515151515,3.79463869463869,4.77777777777778,5.56439393939394,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,1,1,1,0,,1,,,
3,0,1,1,1,6,79,0,9.3,10,1,0,0,4.07692307692308,4.23076923076923,4.46153846153846,4.76923076923077,5.38461538461539,4.07692307692308,5,4.66666666666667,5,4.69230769230769,4.76923076923077,4,4.46153846153846,5,4.33333333333333,4.2,4.28571428571429,4.39897435897436,4.82564102564103,4.5,4.44871794871795,-289,39,39,122,82.6388888888889,17,11.5646258503401,105,71.4285714285714,,,,,,17.3611111111111,,0,,,,919.00,1005.77777777778,1,1,0,1,0,0,0,1,,0,0,0,0
4.00,0,1,1,1,6,79,0,8.7,,,,,4.76923076923077,4.76923076923077,3.84615384615385,4.23076923076923,5.58333333333333,3.76923076923077,3.66666666666667,3.45454545454545,4.18181818181818,4.92307692307692,5.23076923076923,4.23076923076923,5.15384615384615,4.5,3.55555555555556,4.25,3.76923076923077,4.33803418803419,4.29137529137529,4.49465811965812,4.36004273504274,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,,,
5,0,1,1,1,6,79,0,9.3,13,1,1,1,5.46153846153846,5.84615384615385,5.69230769230769,5.23076923076923,6.15384615384615,2.53846153846154,4.16666666666667,3.66666666666667,4,4.69230769230769,4.84615384615385,3.76923076923077,5.30769230769231,5,4,4.2,4.07142857142857,4.45538461538462,4.27435897435897,5.15384615384615,4.51923076923077,102,-49.5,-11,33,20.8333333333334,6,4.08163265306122,27,18.3673469387755,20.8333333333334,6,27,4.08163265306122,18.3673469387755,79.1666666666666,79.1666666666666,1,102,-49.5,-11,821.31,743.5,0,0,0,0,1,0,,,1,0,1,0,0
6,0,1,1,1,6,75,1,6.7,12,0,1,0,4.58333333333333,4.18181818181818,5,4.09090909090909,5.08333333333333,3.66666666666667,2.88888888888889,4.11111111111111,4.45454545454545,4.6,3.53846153846154,4.41666666666667,4.8,4,3.22222222222222,4.4,3.64285714285714,4.16777777777778,3.9186013986014,4.43434343434343,4.10972222222222,186,29,97,26,15.9722222222223,19,12.9251700680272,7,4.76190476190476,15.9722222222223,19,7,12.9251700680272,4.76190476190476,84.0277777777777,84.0277777777777,1,186,29,97,1011.16,1015.63636363636,0,0,0,0,0,0,0,0,,0,1,0,1
7.00,0,1,1,1,6,81,1,7.7,,,,,4.07692307692308,4.46153846153846,3.92307692307692,4.30769230769231,5.07692307692308,2.38461538461538,3.66666666666667,4,3.83333333333333,3.61538461538462,4.5,4.76923076923077,5.15384615384615,5.08333333333333,4,4.4,4.14285714285714,4.68128205128205,3.92307692307692,4.03846153846154,4.75160256410256,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,
8,0,1,1,1,6,77,1,6.6,8,1,0,0,5.15384615384615,4.69230769230769,4.76923076923077,4.84615384615385,5,3.38461538461538,4.58333333333333,4.58333333333333,4.66666666666667,4.46153846153846,4.46153846153846,4.30769230769231,5.23076923076923,4.5,4,3.4,3.78571428571429,4.28769230769231,4.55128205128205,4.64102564102564,4.50961538461539,67,52.5,19,46,29.8611111111112,31,21.0884353741497,15,10.2040816326531,29.8611111111112,31,15,21.0884353741497,10.2040816326531,70.1388888888888,70.1388888888888,1,67,52.5,19,1163.83,1077,1,1,0,1,1,0,0,1,,0,1,1,0
9.00,0,1,1,1,6,81,0,7.8,,,,,2.92307692307692,4,4,3.61538461538462,4.15384615384615,4.07692307692308,3.08333333333333,4.08333333333333,3.5,3.38461538461538,3.33333333333333,3.76923076923077,4.30769230769231,3.58333333333333,3.88888888888889,4.2,4,3.94982905982906,3.47692307692308,3.7948717948718,3.88728632478632,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,
10.00,0,1,1,1,6,77,1,7,,,,,5.53846153846154,5.38461538461539,5.76923076923077,5.84615384615385,5.76923076923077,2.61538461538462,3.83333333333333,3.5,3.90909090909091,5.46153846153846,3.84615384615385,3.46153846153846,5.53846153846154,5.5,2.77777777777778,2.8,2.78571428571429,4.01555555555556,4.11002331002331,5.15384615384615,4.31944444444444,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,,,
11,0,1,1,1,6,77,1,8.4,12,1,1,1,4.07692307692308,6,3.30769230769231,3.92307692307692,5.46153846153846,3.53846153846154,3.58333333333333,3.16666666666667,4,4.07692307692308,5.15384615384615,5.61538461538462,5.69230769230769,5.5,4.77777777777778,4,4.5,5.11709401709402,3.99615384615385,4.38461538461538,5.39636752136752,123,154,155,28,17.3611111111112,3,2.04081632653061,25,17.0068027210884,17.3611111111112,3,25,2.04081632653061,17.0068027210884,82.6388888888888,82.6388888888888,1,123,154,155,1043.69,893.3,2,2,1,0,0,1,1,0,0,1,1,1,1
12,0,1,1,1,6,82,0,9.7,12,1,1,1,4.92307692307692,6.15384615384615,5.53846153846154,4.61538461538462,6,3.66666666666667,3.91666666666667,3.75,4.5,4.15384615384615,5.15384615384615,4.53846153846154,5.92307692307692,5.75,4.11111111111111,3.4,3.85714285714286,4.74452991452991,4.2948717948718,5.14957264957265,5.08066239316239,83.5,172,36.5,10,4.8611111111112,5,3.40136054421769,5,3.40136054421769,4.8611111111112,5,5,3.40136054421769,3.40136054421769,95.1388888888888,95.1388888888888,1,83.5,172,36.5,1069.09,924.885714285714,2,2,1,0,1,1,,,1,1,1,1,0
13,0,1,1,1,6,79,0,9.7,7,0,0,0,4.69230769230769,4.92307692307692,5.46153846153846,4.61538461538462,5.15384615384615,3.38461538461538,4.25,4.66666666666667,4.66666666666667,4.23076923076923,4.38461538461539,3.92307692307692,5.15384615384615,4.91666666666667,3.88888888888889,4,3.92857142857143,4.37649572649573,4.43974358974359,4.70512820512821,4.47061965811966,97,70,62,15,8.3333333333334,9,6.12244897959184,6,4.08163265306122,8.3333333333334,9,6,6.12244897959184,4.08163265306122,91.6666666666666,91.6666666666666,1,97,70,62,925.27,838.848484848485,1,1,0,1,1,0,0,,,0,1,1,0
14,0,1,1,1,6,80,1,7.8,11,1,0,0,4.15384615384615,4.08333333333333,4.61538461538462,4.53846153846154,4.76923076923077,3.61538461538462,3.66666666666667,4,4.91666666666667,4.07692307692308,4.15384615384615,4.15384615384615,4.69230769230769,4.08333333333333,4.33333333333333,4,4.21428571428571,4.2525641025641,4.16282051282051,4.29594017094017,4.31570512820513,130.5,113,402.5,66,43.75,45,30.6122448979592,21,14.2857142857143,43.75,45,21,30.6122448979592,14.2857142857143,56.25,56.25,1,130.5,113,402.5,1000.44,918.25,0,0,0,0,0,0,0,,0,0,1,1,1
15.00,0,1,1,1,,,0,9.1,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
