ID,ANT_Temp,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_errores_porcentaje_50,ANT_errores_omisión_50,ANT_errores_comision_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentajecorrecto,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Central_Cue_rt,Spatial_Cue_rt,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
KW1330,,1,4,2,13,,0,1,9.3,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,131,11,104,13,6.944444444,3,2.040816327,10,6.802721088,6.944444444,3,10,2.040816327,6.802721088,93.05555556,93.05555556,1,131,11,104,649.3333333,588.8571429,,,,,,,,,,,1,0,1
KW1331,,1,4,2,13,,0,0,9.1,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,110.5,77,124.5,24,14.58333333,1,0.680272109,23,15.6462585,14.58333333,1,23,0.680272109,15.6462585,85.41666667,85.41666667,1,110.5,77,124.5,724.7419355,684.8387097,,,,,,,,,,,1,1,1
KW1333,,1,4,2,14,,0,1,9.2,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,101.5,27.5,85.5,13,6.944444444,0,0,13,8.843537415,6.944444444,0,13,0,8.843537415,93.05555556,93.05555556,1,101.5,27.5,85.5,641.4516129,578.8529412,,,,,,,,,,,1,0,0
KW1335,,1,4,2,14,,0,1,8.6,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,47.5,146.5,10,4.861111111,0,0,10,6.802721088,4.861111111,0,10,0,6.802721088,95.13888889,95.13888889,1,0,47.5,146.5,756.4166667,734.5151515,,,,,,,,,,,0,1,1
KW1336,,1,4,2,14,,0,1,9.3,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,67,-75,30,34,21.52777778,7,4.761904762,27,18.36734694,21.52777778,7,27,4.761904762,18.36734694,78.47222222,78.47222222,1,67,-75,30,733.9310345,744.3214286,,,,,,,,,,,1,0,0
KW1338,,1,4,2,14,,0,0,9.1,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,76,-12,-34,25,15.27777778,7,4.761904762,18,12.24489796,15.27777778,7,18,4.761904762,12.24489796,84.72222222,84.72222222,1,76,-12,-34,692.969697,747.5925926,,,,,,,,,,,1,0,0
KW1341,,1,4,2,14,,,1,9.7,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,24,114,95,7,2.777777778,0,0,7,4.761904762,2.777777778,0,7,0,4.761904762,97.22222222,97.22222222,1,24,114,95,738.6470588,684.9428571,,,,,,,,,,,0,1,#N/D
KW1342,,1,4,2,14,,,1,9.7,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,100.5,111,-32,13,6.944444444,4,2.721088435,9,6.12244898,6.944444444,4,9,2.721088435,6.12244898,93.05555556,93.05555556,1,100.5,111,-32,872.4,784.0294118,,,,,,,,,,,1,1,0
KW1345,,0,5,2,15,7,94,0,9.7,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,27.5,30,113,48,31.25,20,13.60544218,28,19.04761905,31.25,20,28,13.60544218,19.04761905,68.75,68.75,1,27.5,30,113,1074.454545,1106.32,,,,,,,,,,,0,0,1
KW1347,,0,5,2,15,7,93,0,7.6,11,1,0,0,,,,,,,,,,,,,,,,,,,,,,20,151,-13,44,28.47222222,10,6.802721088,34,23.1292517,28.47222222,10,34,6.802721088,23.1292517,71.52777778,71.52777778,1,20,151,-13,1115.666667,1050.851852,,,,,,,,,,,0,1,0
